record_id,slice_rank,case_id,role,record_relative_l2,late_relative_l2,spectrum_high_relative_l2,receiver_relative_l2
marm_r01_extrap_deep,1,extrap_deep,outside_train_position_range,0.6819111108779907,0.9148551821708679,0.9089223742485046,0.43585216999053955
marm_r01_extrap_left,1,extrap_left,outside_train_position_range,0.6218680143356323,0.723734974861145,0.7614604234695435,0.6049026846885681
marm_r01_extrap_right,1,extrap_right,outside_train_position_range,0.5530862808227539,0.7642276287078857,0.6490114331245422,0.327513188123703
marm_r01_interp_center,1,interp_center,interpolation,0.4303630292415619,0.580403208732605,0.8832424283027649,0.33941495418548584
marm_r01_interp_left_deep,1,interp_left_deep,interpolation,0.4511518180370331,0.629277765750885,0.8280385136604309,0.38768699765205383
marm_r01_interp_left_shallow,1,interp_left_shallow,interpolation,0.4429718554019928,0.5889073610305786,0.6796689033508301,0.39969828724861145
marm_r01_interp_right_deep,1,interp_right_deep,interpolation,0.4810054302215576,0.7169938087463379,0.7273985743522644,0.2592897415161133
marm_r01_interp_right_shallow,1,interp_right_shallow,interpolation,0.45311859250068665,0.6038013696670532,0.7954274415969849,0.3263872563838959
marm_r02_extrap_deep,2,extrap_deep,outside_train_position_range,0.6910910606384277,0.9014745950698853,0.8900057077407837,0.585241436958313
marm_r02_extrap_left,2,extrap_left,outside_train_position_range,0.5491432547569275,0.7102389931678772,0.686185896396637,0.8813085556030273
marm_r02_extrap_right,2,extrap_right,outside_train_position_range,0.5346783399581909,0.7124419808387756,0.6830313205718994,0.4302501082420349
marm_r02_interp_center,2,interp_center,interpolation,0.5038779973983765,0.7092283368110657,0.9441210627555847,0.5507001280784607
marm_r02_interp_left_deep,2,interp_left_deep,interpolation,0.4702732563018799,0.6607993245124817,0.8024235963821411,0.5387798547744751
marm_r02_interp_left_shallow,2,interp_left_shallow,interpolation,0.5160031914710999,0.6620118618011475,0.76845782995224,0.5146918296813965
marm_r02_interp_right_deep,2,interp_right_deep,interpolation,0.5021073818206787,0.7288451194763184,0.7171266078948975,0.37758195400238037
marm_r02_interp_right_shallow,2,interp_right_shallow,interpolation,0.5702901482582092,0.7764553427696228,0.8603941202163696,0.5209864377975464
marm_r03_extrap_deep,3,extrap_deep,outside_train_position_range,0.679203450679779,0.9141552448272705,0.886448860168457,0.43882495164871216
marm_r03_extrap_left,3,extrap_left,outside_train_position_range,0.6385161876678467,0.7574979066848755,0.7648796439170837,0.6664206385612488
marm_r03_extrap_right,3,extrap_right,outside_train_position_range,0.5328558087348938,0.7147620320320129,0.6734982132911682,0.27163559198379517
marm_r03_interp_center,3,interp_center,interpolation,0.4732890725135803,0.5888960361480713,0.8959718346595764,0.436722069978714
