scheme,courant_axis,points_per_wavelength,angle_deg,phase_velocity_ratio,phase_error_percent,stable
fd2,0.25,4.0,0.0,0.9050726580585693,-9.492734194143072,True
fd2,0.25,4.0,5.0,0.9066170005980634,-9.33829994019366,True
fd2,0.25,4.0,10.0,0.9110492636496323,-8.895073635036766,True
fd2,0.25,4.0,15.0,0.9177987301538838,-8.22012698461162,True
fd2,0.25,4.0,20.0,0.9260115864624626,-7.398841353753738,True
fd2,0.25,4.0,25.0,0.9346729803123073,-6.532701968769272,True
fd2,0.25,4.0,30.0,0.9427401725144242,-5.725982748557579,True
fd2,0.25,4.0,35.0,0.9492663571509615,-5.073364284903848,True
fd2,0.25,4.0,40.0,0.9535021577711034,-4.6497842228896635,True
fd2,0.25,4.0,45.0,0.9549688824233862,-4.503111757661382,True
fd2,0.25,4.0,50.0,0.9535021577711034,-4.6497842228896635,True
fd2,0.25,4.0,55.0,0.9492663571509615,-5.073364284903848,True
fd2,0.25,4.0,60.0,0.9427401725144242,-5.725982748557579,True
fd2,0.25,4.0,65.0,0.9346729803123073,-6.532701968769272,True
fd2,0.25,4.0,70.0,0.9260115864624626,-7.398841353753738,True
fd2,0.25,4.0,75.0,0.9177987301538838,-8.22012698461162,True
fd2,0.25,4.0,80.0,0.9110492636496323,-8.895073635036766,True
fd2,0.25,4.0,85.0,0.9066170005980634,-9.33829994019366,True
fd2,0.25,4.0,90.0,0.9050726580585693,-9.492734194143072,True
fd2,0.25,4.1,0.0,0.9095736369970757,-9.042636300292429,True
fd2,0.25,4.1,5.0,0.9110439143555181,-8.895608564448187,True
fd2,0.25,4.1,10.0,0.9152643313427178,-8.473566865728221,True
fd2,0.25,4.1,15.0,0.9216932247333322,-7.8306775266667845,True
fd2,0.25,4.1,20.0,0.929519236500358,-7.048076349964205,True
fd2,0.25,4.1,25.0,0.9377764114741701,-6.222358852582987,True
fd2,0.25,4.1,30.0,0.9454704926009622,-5.452950739903784,True
fd2,0.25,4.1,35.0,0.9516971653902337,-4.830283460976625,True
fd2,0.25,4.1,40.0,0.9557396613258062,-4.426033867419377,True
fd2,0.25,4.1,45.0,0.9571396486302575,-4.286035136974253,True
fd2,0.25,4.1,50.0,0.9557396613258071,-4.426033867419288,True
fd2,0.25,4.1,55.0,0.9516971653902337,-4.830283460976625,True
fd2,0.25,4.1,60.0,0.9454704926009622,-5.452950739903784,True
fd2,0.25,4.1,65.0,0.9377764114741701,-6.222358852582987,True
fd2,0.25,4.1,70.0,0.929519236500358,-7.048076349964205,True
fd2,0.25,4.1,75.0,0.9216932247333322,-7.8306775266667845,True
fd2,0.25,4.1,80.0,0.9152643313427178,-8.473566865728221,True
fd2,0.25,4.1,85.0,0.9110439143555181,-8.895608564448187,True
fd2,0.25,4.1,90.0,0.9095736369970757,-9.042636300292429,True
fd2,0.25,4.2,0.0,0.9137641240051929,-8.62358759948071,True
fd2,0.25,4.2,5.0,0.9151655254794467,-8.483447452055326,True
fd2,0.25,4.2,10.0,0.9191888681742484,-8.081113182575162,True
fd2,0.25,4.2,15.0,0.9253193438587574,-7.468065614124264,True
fd2,0.25,4.2,20.0,0.9327849350493214,-6.721506495067864,True
fd2,0.25,4.2,25.0,0.9406651455390942,-5.933485446090581,True
fd2,0.25,4.2,30.0,0.9480109565907796,-5.19890434092204,True
