epoch,agg,U,L,M,early,mid,late,low,midf,high,phase,peakGiB,trainable
1,0.4708177745759148,0.3977479557093539,0.4420905306861407,0.5380028178691422,0.2714584263137892,0.49813507454908273,0.661750831252146,0.5059400391507161,0.6559644453556971,0.6677720107225809,0.6639228630395088,5.43,9990
2,0.4757618766294942,0.4028197493467224,0.4515529928174778,0.5383613537482326,0.2726210209693717,0.49845813087333357,0.6620491737203851,0.5067866197671433,0.6560283340927201,0.6683689450642436,0.6548974447883962,13.38,13087712
3,0.4951093940627382,0.424807184724469,0.4808119850401833,0.5464079658949084,0.29451133742662317,0.5123749821309929,0.6707467291876648,0.5195693293486965,0.6572965591890831,0.6645505044794208,0.6536522910959104,21.85,13226211
4,0.506780353660891,0.44824635625909426,0.4879933841948689,0.5563746901804902,0.3287579332150608,0.52513403315865,0.6835356630541447,0.5359037398593558,0.6741557532743089,0.7305851728057131,0.6438725437169633,19.0,13259747
5,0.49726587945177325,0.43301445179539144,0.46920264514839505,0.5591456546269312,0.3342035900232354,0.5283024893659972,0.6847959073514285,0.5379338977902366,0.6778636906057106,0.7285753367624179,0.6615216313317612,19.57,18961411
6,0.492972095051794,0.43311269452373863,0.45889212177867356,0.5585570159712595,0.3334083555873101,0.5282787940143847,0.6849063778012118,0.537284451592677,0.6735038611462559,0.718815398855875,0.6662439329685499,19.57,18961411
