method,split,records_or_measurements,mean_instance_fine_tuning_s,mean_solve_or_inference_and_output_s,mean_end_to_end_s,p95_end_to_end_s,mean_speedup_ratio,conservative_p95_speedup
LWC-84 with three-sided CFS-CPML,three-family runtime reference,6,,20.499601340076577,20.499601340076577,20.778471576981246,1.0,1.0
Ours: parent operator + CPADC instance fine-tuning,validation,480,0.4505039939986697,9.967832655339347,10.418336649338016,10.651717566885054,1.967646278869202,1.909680105156703
Ours: parent operator + CPADC instance fine-tuning,test_id,480,0.4528442223323509,9.957605732296361,10.410449954628712,10.68228603899479,1.9691369181369542,1.9042153569913849
